ticker,1y Target Est,1y Target Est,1y Target Est,1y Target Est,1y Target Est,1y Target Est,Day's Range,EPS (TTM),Earnings Date,Ex-Dividend Date,Forward Dividend & Yield,Market Cap,Open,PE Ratio (TTM),Previous Close,Volume,url,error
HINDUJAVEN.BO,450,388.00 - 920.00,0.00 x 0,942,0.59,0.00 x 0,391.45 - 408.95,-118.95,,14-09-18,17.50 (4.43%),8.253B,396.3,N/A,401.7,311,http://finance.yahoo.com/quote/HINDUJAVEN.BO?p=HINDUJAVEN.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
HOTELEELA.BO,19,8.61 - 25.05,0.00 x 0,"181,660",0.71,0.00 x 0,15.10 - 15.40,-0.432,,21-06-11,N/A (N/A),9.584B,15.35,N/A,15.2,"15,850",http://finance.yahoo.com/quote/HOTELEELA.BO?p=HOTELEELA.BO,
IGPL.BO,809,340.00 - 798.00,0.00 x 0,"2,397",1.64,0.00 x 0,395.05 - 429.10,47.421,2019-02-13 to 2019-02-18,16-08-18,4.00 (0.99%),12.224B,426,8.37,401.9,"1,262",http://finance.yahoo.com/quote/IGPL.BO?p=IGPL.BO,
INDIAGLYCO.BO,158,282.10 - 619.90,0.00 x 0,"23,404",1.2,0.00 x 0,310.50 - 323.60,31.177,,26-07-18,4.00 (1.23%),9.702B,322,10.05,322.3,"16,176",http://finance.yahoo.com/quote/INDIAGLYCO.BO?p=INDIAGLYCO.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
INGERRAND.BO,613,472.35 - 914.90,0.00 x 0,"3,339",0.68,0.00 x 0,580.65 - 590.65,30.58,,15-11-18,6.00 (1.04%),18.516B,580.65,19.18,582.7,"1,648",http://finance.yahoo.com/quote/INGERRAND.BO?p=INGERRAND.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
ITHL.BO,305,144.00 - 228.80,0.00 x 0,"1,834",1.13,0.00 x 0,144.00 - 147.40,6.417,2019-01-23 to 2019-01-28,23-08-18,4.25 (2.85%),1.16B,147.4,22.6,146.05,"1,036",http://finance.yahoo.com/quote/ITHL.BO?p=ITHL.BO,
IONEXCHANG.BO,616,335.00 - 590.00,0.00 x 0,"4,310",0.4,0.00 x 0,380.00 - 383.00,34.736,,28-08-18,3.50 (0.93%),4.395B,383,10.94,385.15,"1,554",http://finance.yahoo.com/quote/IONEXCHANG.BO?p=IONEXCHANG.BO,
ATFL.BO,651.67,451.00 - 820.00,0.00 x 0,"4,885",0.67,0.00 x 0,604.65 - 619.25,13.56,2019-01-17 to 2019-01-21,17-07-18,2.50 (0.41%),14.78B,604.65,44.73,612.3,118,http://finance.yahoo.com/quote/ATFL.BO?p=ATFL.BO,
JISLJALEQS.BO,118,55.10 - 150.40,0.00 x 0,"759,961",0.53,0.00 x 0,64.40 - 66.10,5.176,,12-09-18,1.00 (1.48%),33.013B,66.1,12.5,65.15,"773,873",http://finance.yahoo.com/quote/JISLJALEQS.BO?p=JISLJALEQS.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
JINDALPOLY.BO,565,205.10 - 395.00,0.00 x 0,"4,053",-0.26,0.00 x 0,243.35 - 247.05,19.46,,19-09-18,1.00 (0.41%),10.734B,243.35,12.6,244.95,"1,869",http://finance.yahoo.com/quote/JINDALPOLY.BO?p=JINDALPOLY.BO,
JSWSTEEL.BO,358.41,275.00 - 427.30,0.00 x 0,"241,039",0.67,0.00 x 0,283.65 - 291.90,38.231,,09-07-18,3.20 (1.10%),687.88B,289.65,7.47,289.2,"189,199",http://finance.yahoo.com/quote/JSWSTEEL.BO?p=JSWSTEEL.BO,
UMANGDAIR.BO,105.09,54.00 - 112.00,0.00 x 0,"3,958",1.4,0.00 x 0,59.55 - 61.90,4.136,,11-09-18,0.25 (0.43%),1.311B,60.1,14.41,61.9,618,http://finance.yahoo.com/quote/UMANGDAIR.BO?p=UMANGDAIR.BO,
KAJARIACER.BO,488.5,316.20 - 739.40,0.00 x 0,"43,321",0.7,0.00 x 0,524.55 - 539.90,13.56,,16-08-18,3.00 (0.57%),85.014B,539.9,39.47,534.25,"87,067",http://finance.yahoo.com/quote/KAJARIACER.BO?p=KAJARIACER.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
KSL.BO,339,207.00 - 384.60,0.00 x 0,"9,313",1.8,0.00 x 0,213.40 - 223.00,26.483,2018-08-09 to 2018-08-13,10-08-18,5.00 (2.34%),9.473B,214,8.19,211.3,"19,845",http://finance.yahoo.com/quote/KSL.BO?p=KSL.BO,
WHIRLPOOL.BO,1487.9,"1,248.00 - 1,858.85",0.00 x 0,"4,546",0.96,0.00 x 0,"1,458.45 - 1,485.00",30.49,,07-09-18,4.00 (0.28%),185.36B,"1,470.40",47.92,"1,467.75",843,http://finance.yahoo.com/quote/WHIRLPOOL.BO?p=WHIRLPOOL.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
KINETICENG.BO,80,43.05 - 91.90,0.00 x 0,"2,886",0.93,0.00 x 0,48.30 - 49.95,-4.656,,11-09-02,N/A (N/A),867.721M,49.65,N/A,49.8,"1,085",http://finance.yahoo.com/quote/KINETICENG.BO?p=KINETICENG.BO,
KIRLOSBROS.BO,392,141.00 - 399.30,0.00 x 0,"12,181",1.22,0.00 x 0,146.00 - 151.70,6.22,,12-07-18,2.50 (1.64%),11.709B,151.1,23.71,150,"2,865",http://finance.yahoo.com/quote/KIRLOSBROS.BO?p=KIRLOSBROS.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
